strain_id,sub_lineage,lineage
ERR4024971,L4.11.2,L4.11
ERR4024975,L4.11.2,L4.11
ERR4024983,L4.11.2,L4.11
ERR4024986,L4.11.2,L4.11
ERR4025002,L4.11.2,L4.11
ERR4025008,L4.11.2,L4.11
ERR4025029,L4.11.2,L4.11
ERR4025030,L4.11.2,L4.11
ERR4025041,L4.11.2,L4.11
ERR4025066,L4.11.2,L4.11
ERR4025071,L4.11.2,L4.11
ERR4025084,L4.11.2,L4.11
ERR4025127,L4.11.2,L4.11
ERR4178124,L4.11.2,L4.11
ERR4178144,L4.11.2,L4.11
ERR4178170,L4.11.2,L4.11
ERR4178175,L4.11.2,L4.11
ERR4178215,L4.11.2,L4.11
ERR4178225,L4.11.2,L4.11
ERR4178236,L4.11.2,L4.11
ERR4178266,L4.11.2,L4.11
ERR4178287,L4.11.2,L4.11
ERR4178307,L4.11.2,L4.11
ERR4195655,L4.11.2,L4.11
ERR4195919,L4.11.2,L4.11
ERR4195920,L4.11.2,L4.11
ERR4457776,L4.11.2,L4.11
ERR4457777,L4.11.2,L4.11
ERR4457778,L4.11.2,L4.11
ERR4457779,L4.11.2,L4.11
ERR4457781,L4.11.2,L4.11
ERR4457783,L4.11.2,L4.11
ERR4457784,L4.11.2,L4.11
ERR4457785,L4.11.2,L4.11
ERR4457786,L4.11.2,L4.11
ERR4457787,L4.11.2,L4.11
ERR4457788,L4.11.2,L4.11
ERR4457790,L4.11.2,L4.11
ERR4457791,L4.11.2,L4.11
ERR4457792,L4.11.2,L4.11
ERR4457793,L4.11.2,L4.11
ERR4457794,L4.11.2,L4.11
ERR4457795,L4.11.2,L4.11
ERR4457796,L4.11.2,L4.11
ERR4457798,L4.11.2,L4.11
ERR4457800,L4.11.2,L4.11
ERR4457801,L4.11.2,L4.11
ERR4457802,L4.11.2,L4.11
ERR4457803,L4.11.2,L4.11
ERR4457804,L4.11.2,L4.11
ERR4457805,L4.11.2,L4.11
ERR4457807,L4.11.2,L4.11
ERR4457808,L4.11.2,L4.11
ERR4457810,L4.11.2,L4.11
ERR4457811,L4.11.2,L4.11
ERR4457818,L4.11.2,L4.11
ERR4457819,L4.11.2,L4.11
ERR4457820,L4.11.2,L4.11
ERR4457823,L4.11.2,L4.11
ERR4457825,L4.11.2,L4.11
ERR4457827,L4.11.2,L4.11
ERR4457828,L4.11.2,L4.11
ERR4457830,L4.11.2,L4.11
ERR4457831,L4.11.2,L4.11
ERR4457833,L4.11.2,L4.11
ERR4457834,L4.11.2,L4.11
ERR4457836,L4.11.2,L4.11
ERR4457837,L4.11.2,L4.11
ERR4457839,L4.11.2,L4.11
ERR4457840,L4.11.2,L4.11
ERR4457843,L4.11.2,L4.11
ERR4457845,L4.11.2,L4.11
ERR4457846,L4.11.2,L4.11
ERR4457847,L4.11.2,L4.11
ERR4457849,L4.11.2,L4.11
ERR4457851,L4.11.2,L4.11
ERR4457852,L4.11.2,L4.11
ERR4457853,L4.11.2,L4.11
ERR4457854,L4.11.2,L4.11
ERR4457855,L4.11.2,L4.11
ERR4457856,L4.11.2,L4.11
ERR4457857,L4.11.2,L4.11
ERR4457858,L4.11.2,L4.11
ERR4457859,L4.11.2,L4.11
ERR4457860,L4.11.2,L4.11
ERR4457861,L4.11.2,L4.11
ERR4457863,L4.11.2,L4.11
ERR4457867,L4.11.2,L4.11
ERR4457869,L4.11.2,L4.11
ERR4457870,L4.11.2,L4.11
ERR4457871,L4.11.2,L4.11
ERR4457872,L4.11.2,L4.11
ERR4457875,L4.11.2,L4.11
ERR4457878,L4.11.2,L4.11
ERR4457883,L4.11.2,L4.11
ERR4457888,L4.11.2,L4.11
ERR4457889,L4.11.2,L4.11
ERR4457891,L4.11.2,L4.11
ERR4457892,L4.11.2,L4.11
ERR4457893,L4.11.2,L4.11
ERR4457894,L4.11.2,L4.11
ERR4457895,L4.11.2,L4.11
ERR4457898,L4.11.2,L4.11
ERR4457900,L4.11.2,L4.11
ERR4457901,L4.11.2,L4.11
ERR4457902,L4.11.2,L4.11
ERR4457903,L4.11.2,L4.11
ERR4457904,L4.11.2,L4.11
ERR4457906,L4.11.2,L4.11
ERR4457910,L4.11.2,L4.11
ERR4457911,L4.11.2,L4.11
ERR4457912,L4.11.2,L4.11
ERR4457914,L4.11.2,L4.11
ERR4457916,L4.11.2,L4.11
ERR4457917,L4.11.2,L4.11
ERR4457919,L4.11.2,L4.11
ERR4457920,L4.11.2,L4.11
ERR4457921,L4.11.2,L4.11
ERR4457924,L4.11.2,L4.11
ERR4457925,L4.11.2,L4.11
ERR4457927,L4.11.2,L4.11
ERR4553410,L4.11.1,L4.11
ERR4553419,L4.11.1,L4.11
ERR4553448,L4.11.1,L4.11
ERR4553470,L4.11.1,L4.11
ERR4553478,L4.11.1,L4.11
ERR4553511,L4.11.1,L4.11
ERR4553515,L4.11.1,L4.11
ERR4553546,L4.11.1,L4.11
ERR4553566,L4.11.1,L4.11
ERR4553568,L4.11.1,L4.11
ERR4553613,L4.11.1,L4.11
ERR4553633,L4.11.1,L4.11
ERR4553665,L4.11.1,L4.11
ERR4553670,L4.11.1,L4.11
ERR4553716,L4.11.1,L4.11
ERR4553720,L4.11.1,L4.11
ERR4553721,L4.11.1,L4.11
ERR4553747,L4.11.1,L4.11
ERR4553770,L4.11.1,L4.11
ERR4553815,L4.11.1,L4.11
ERR4553821,L4.11.1,L4.11
ERR4553824,L4.11.1,L4.11
ERR4553830,L4.11.1,L4.11
ERR4553834,L4.11.1,L4.11
ERR4553841,L4.11.1,L4.11
ERR4553856,L4.11.1,L4.11
ERR4553857,L4.11.1,L4.11
ERR4553887,L4.11.1,L4.11
ERR4553896,L4.11.1,L4.11
ERR4553923,L4.11.1,L4.11
ERR4553942,L4.11.1,L4.11
ERR4553947,L4.11.1,L4.11
ERR4553968,L4.11.1,L4.11
ERR4553972,L4.11.1,L4.11
ERR4811687,L4.11.2,L4.11
ERR4811698,L4.11.2,L4.11
ERR4811708,L4.11.2,L4.11
ERR4811808,L4.11.2,L4.11
ERR4811821,L4.11.2,L4.11
ERR4811822,L4.11.2,L4.11
ERR4811831,L4.11.2,L4.11
ERR4811835,L4.11.2,L4.11
ERR4811872,L4.11.2,L4.11
ERR4811892,L4.11.2,L4.11
ERR4811926,L4.11.2,L4.11
ERR4811935,L4.11.2,L4.11
ERR4811957,L4.11.2,L4.11
ERR4811996,L4.11.2,L4.11
ERR4812006,L4.11.2,L4.11
ERR4812013,L4.11.2,L4.11
ERR4812032,L4.11.2,L4.11
ERR4812060,L4.11.2,L4.11
ERR4812117,L4.11.2,L4.11
ERR4812173,L4.11.2,L4.11
ERR4812210,L4.11.2,L4.11
ERR4812232,L4.11.2,L4.11
ERR4812246,L4.11.2,L4.11
ERR4812301,L4.11.2,L4.11
ERR4812367,L4.11.2,L4.11
ERR4812372,L4.11.2,L4.11
ERR4812404,L4.11.2,L4.11
ERR4812409,L4.11.2,L4.11
ERR4812485,L4.11.2,L4.11
ERR4812535,L4.11.2,L4.11
ERR4812567,L4.11.2,L4.11
ERR4812606,L4.11.2,L4.11
ERR4812630,L4.11.2,L4.11
ERR4812635,L4.11.2,L4.11
ERR4812681,L4.11.2,L4.11
ERR4812695,L4.11.2,L4.11
ERR4812722,L4.11.2,L4.11
ERR4812772,L4.11.2,L4.11
ERR4812878,L4.11.2,L4.11
ERR4812996,L4.11.2,L4.11
ERR4813061,L4.11.2,L4.11
ERR4813107,L4.11.2,L4.11
ERR4813109,L4.11.2,L4.11
ERR4813115,L4.11.2,L4.11
ERR4813203,L4.11.2,L4.11
ERR4813255,L4.11.2,L4.11
ERR4813288,L4.11.2,L4.11
ERR4813306,L4.11.2,L4.11
ERR4813328,L4.11.2,L4.11
ERR4813333,L4.11.2,L4.11
ERR4813385,L4.11.2,L4.11
ERR4813465,L4.11.2,L4.11
ERR4813495,L4.11.2,L4.11
ERR4813503,L4.11.2,L4.11
ERR4813531,L4.11.2,L4.11
ERR4813549,L4.11.2,L4.11
ERR4813562,L4.11.2,L4.11
ERR4813603,L4.11.2,L4.11
ERR4813641,L4.11.2,L4.11
ERR4813656,L4.11.2,L4.11
ERR4813660,L4.11.2,L4.11
ERR4813663,L4.11.2,L4.11
ERR4813676,L4.11.2,L4.11
ERR4813681,L4.11.2,L4.11
ERR4813683,L4.11.2,L4.11
ERR4813724,L4.11.2,L4.11
ERR4813732,L4.11.2,L4.11
ERR4813733,L4.11.2,L4.11
ERR4813777,L4.11.2,L4.11
ERR4829108,L4.11.2,L4.11
ERR4829631,L4.11.2,L4.11
ERR551462,L4.11.2,L4.11
ERR552379,L4.11.2,L4.11
ERR6865380,L4.11.2,L4.11
ERR6865778,L4.11.2,L4.11
ERR6866237,L4.11.2,L4.11
ERR6866822,L4.11.2,L4.11
ERR6866887,L4.11.2,L4.11
ERR6866972,L4.11.2,L4.11
ERR6866978,L4.11.2,L4.11
ERR7339051,L4.11.2,L4.11
ERR7339052,L4.11.2,L4.11
ERR7339054,L4.11.2,L4.11
ERR751353,L4.11.2,L4.11
ERR751356,L4.11.2,L4.11
ERR751408,L4.11.2,L4.11
ERR751411,L4.11.2,L4.11
ERR751414,L4.11.2,L4.11
ERR751433,L4.11.2,L4.11
ERR751447,L4.11.2,L4.11
ERR751452,L4.11.2,L4.11
ERR751465,L4.11.2,L4.11
ERR751478,L4.11.2,L4.11
ERR751488,L4.11.2,L4.11
ERR751516,L4.11.2,L4.11
ERR751521,L4.11.2,L4.11
ERR751526,L4.11.2,L4.11
ERR751531,L4.11.2,L4.11
ERR751540,L4.11.2,L4.11
ERR751579,L4.11.2,L4.11
ERR751601,L4.11.2,L4.11
ERR751602,L4.11.2,L4.11
ERR751620,L4.11.2,L4.11
ERR775307,L4.11.2,L4.11
ERR775313,L4.11.2,L4.11
ERR775319,L4.11.2,L4.11
ERR775321,L4.11.2,L4.11
ERR775324,L4.11.2,L4.11
ERR775344,L4.11.2,L4.11
ERR775362,L4.11.2,L4.11
ERR775364,L4.11.2,L4.11
ERR775380,L4.11.2,L4.11
ERR775389,L4.11.2,L4.11
ERR779883,L4.11.2,L4.11
ERR779891,L4.11.2,L4.11
ERR779918,L4.11.2,L4.11
ERR779923,L4.11.2,L4.11
ERR7910889,L4.11.2,L4.11
ERR7910890,L4.11.2,L4.11
ERR7911346,L4.11.2,L4.11
ERR7912727,L4.11.2,L4.11
ERR845934,L4.11.2,L4.11
ERR845936,L4.11.2,L4.11
ERR9029844,L4.11.2,L4.11
ERR9029867,L4.11.2,L4.11
ERR9029870,L4.11.2,L4.11
ERR9029873,L4.11.2,L4.11
ERR9121139,L4.11.2,L4.11
SRR1049729,L4.11.1,L4.11
SRR1049730,L4.11.1,L4.11
SRR1062930,L4.11.1,L4.11
SRR10808370,L4.11.2,L4.11
SRR10808371,L4.11.2,L4.11
SRR10808498,L4.11.2,L4.11
SRR10808564,L4.11.2,L4.11
SRR10808614,L4.11.2,L4.11
SRR10808658,L4.11.2,L4.11
SRR10808676,L4.11.2,L4.11
SRR10808685,L4.11.2,L4.11
SRR10808687,L4.11.2,L4.11
SRR10808688,L4.11.2,L4.11
SRR10808691,L4.11.2,L4.11
SRR10808703,L4.11.2,L4.11
SRR10808865,L4.11.2,L4.11
SRR10808910,L4.11.2,L4.11
SRR10808948,L4.11.2,L4.11
SRR1140739,L4.11.1,L4.11
SRR1163141,L4.11.2,L4.11
SRR1163300,L4.11.2,L4.11
SRR11947366,L4.11.2,L4.11
SRR13870364,L4.11.2,L4.11
SRR13870374,L4.11.2,L4.11
SRR13870420,L4.11.2,L4.11
SRR15217980,L4.11.2,L4.11
SRR16089638,L4.11.2,L4.11
SRR16096975,L4.11.2,L4.11
SRR16100231,L4.11.2,L4.11
SRR16370619,L4.11.2,L4.11
SRR16370620,L4.11.2,L4.11
SRR16915706,L4.11.2,L4.11
SRR16915715,L4.11.2,L4.11
SRR16915757,L4.11.2,L4.11
SRR17234892,L4.11.2,L4.11
SRR19276615,L4.11.2,L4.11
SRR19276639,L4.11.2,L4.11
SRR19315451,L4.11.2,L4.11
SRR19317516,L4.11.2,L4.11
SRR19317518,L4.11.2,L4.11
SRR21239970,L4.11.2,L4.11
SRR21659825,L4.11.2,L4.11
SRR21661641,L4.11.1,L4.11
SRR21678364,L4.11.2,L4.11
SRR22461620,L4.11.2,L4.11
SRR22461636,L4.11.2,L4.11
SRR22461648,L4.11.2,L4.11
SRR22461654,L4.11.2,L4.11
SRR22461660,L4.11.2,L4.11
SRR22461679,L4.11.2,L4.11
SRR22461684,L4.11.2,L4.11
SRR22461688,L4.11.2,L4.11
SRR22461705,L4.11.2,L4.11
SRR26112070,L4.11.2,L4.11
SRR26112219,L4.11.2,L4.11
SRR26112650,L4.11.2,L4.11
SRR26787798,L4.11.2,L4.11
SRR26787821,L4.11.2,L4.11
SRR26787877,L4.11.2,L4.11
SRR26787894,L4.11.2,L4.11
SRR26787912,L4.11.2,L4.11
SRR26787922,L4.11.2,L4.11
SRR26787954,L4.11.2,L4.11
SRR26788002,L4.11.2,L4.11
SRR26788009,L4.11.2,L4.11
SRR26788024,L4.11.2,L4.11
SRR26788029,L4.11.2,L4.11
SRR26788085,L4.11.2,L4.11
SRR26788103,L4.11.2,L4.11
SRR26788118,L4.11.2,L4.11
SRR26788122,L4.11.2,L4.11
SRR26788158,L4.11.2,L4.11
SRR26788164,L4.11.2,L4.11
SRR26788176,L4.11.2,L4.11
SRR26788191,L4.11.2,L4.11
SRR26788216,L4.11.2,L4.11
SRR26788224,L4.11.2,L4.11
SRR26788255,L4.11.2,L4.11
SRR26788276,L4.11.2,L4.11
SRR26788365,L4.11.2,L4.11
SRR26788378,L4.11.2,L4.11
SRR26788440,L4.11.2,L4.11
SRR26788487,L4.11.2,L4.11
SRR26788501,L4.11.2,L4.11
SRR26788517,L4.11.2,L4.11
SRR26788532,L4.11.2,L4.11
SRR26788534,L4.11.2,L4.11
SRR26788535,L4.11.2,L4.11
SRR26788539,L4.11.2,L4.11
SRR26788562,L4.11.2,L4.11
SRR26794316,L4.11.2,L4.11
SRR26794342,L4.11.2,L4.11
SRR26794345,L4.11.2,L4.11
SRR26794350,L4.11.2,L4.11
SRR26794353,L4.11.2,L4.11
SRR26794371,L4.11.2,L4.11
SRR26794372,L4.11.2,L4.11
SRR26794391,L4.11.2,L4.11
SRR26794412,L4.11.2,L4.11
SRR26794415,L4.11.2,L4.11
SRR26794436,L4.11.2,L4.11
SRR26794444,L4.11.2,L4.11
SRR26794445,L4.11.2,L4.11
SRR26794447,L4.11.2,L4.11
SRR26794494,L4.11.2,L4.11
SRR26794501,L4.11.2,L4.11
SRR26794503,L4.11.2,L4.11
SRR26794545,L4.11.2,L4.11
SRR26794565,L4.11.2,L4.11
SRR26794645,L4.11.2,L4.11
SRR26794651,L4.11.2,L4.11
SRR26794656,L4.11.2,L4.11
SRR26794682,L4.11.2,L4.11
SRR26794685,L4.11.2,L4.11
SRR26794699,L4.11.2,L4.11
SRR26794707,L4.11.2,L4.11
SRR26794756,L4.11.2,L4.11
SRR26794862,L4.11.2,L4.11
SRR26794870,L4.11.2,L4.11
SRR26794899,L4.11.2,L4.11
SRR26794946,L4.11.2,L4.11
SRR26794960,L4.11.2,L4.11
SRR26794979,L4.11.2,L4.11
SRR26794983,L4.11.2,L4.11
SRR26795034,L4.11.2,L4.11
SRR26795047,L4.11.2,L4.11
SRR26795109,L4.11.2,L4.11
SRR26795121,L4.11.2,L4.11
SRR26795123,L4.11.2,L4.11
SRR26795147,L4.11.2,L4.11
SRR26795183,L4.11.2,L4.11
SRR26795185,L4.11.2,L4.11
SRR26795236,L4.11.2,L4.11
SRR26795238,L4.11.2,L4.11
SRR26795242,L4.11.2,L4.11
SRR26795245,L4.11.2,L4.11
SRR26795269,L4.11.2,L4.11
SRR26795285,L4.11.2,L4.11
SRR26795314,L4.11.2,L4.11
SRR26795325,L4.11.2,L4.11
SRR26795326,L4.11.2,L4.11
SRR26795414,L4.11.2,L4.11
SRR26795431,L4.11.2,L4.11
SRR26795447,L4.11.2,L4.11
SRR26795465,L4.11.2,L4.11
SRR26795493,L4.11.2,L4.11
SRR26795503,L4.11.2,L4.11
SRR26795530,L4.11.2,L4.11
SRR26795551,L4.11.2,L4.11
SRR26795579,L4.11.2,L4.11
SRR26795612,L4.11.2,L4.11
SRR26795661,L4.11.2,L4.11
SRR26795698,L4.11.2,L4.11
SRR26795704,L4.11.2,L4.11
SRR26795749,L4.11.2,L4.11
SRR26795753,L4.11.2,L4.11
SRR28393265,L4.11.2,L4.11
SRR28393306,L4.11.2,L4.11
SRR28393313,L4.11.2,L4.11
SRR28393316,L4.11.2,L4.11
SRR28393317,L4.11.2,L4.11
SRR28393318,L4.11.2,L4.11
SRR28393319,L4.11.2,L4.11
SRR28393349,L4.11.2,L4.11
SRR28393361,L4.11.2,L4.11
SRR28393369,L4.11.2,L4.11
SRR28393373,L4.11.2,L4.11
SRR28393378,L4.11.2,L4.11
SRR28393420,L4.11.2,L4.11
SRR28393423,L4.11.2,L4.11
SRR28393451,L4.11.2,L4.11
SRR28393472,L4.11.2,L4.11
SRR28393501,L4.11.2,L4.11
SRR28393509,L4.11.2,L4.11
SRR28393521,L4.11.2,L4.11
SRR28393529,L4.11.2,L4.11
SRR28393548,L4.11.2,L4.11
SRR28393551,L4.11.2,L4.11
SRR28393572,L4.11.2,L4.11
SRR28393597,L4.11.2,L4.11
SRR28393599,L4.11.2,L4.11
SRR28393600,L4.11.2,L4.11
SRR28393616,L4.11.2,L4.11
SRR28393618,L4.11.2,L4.11
SRR28393620,L4.11.2,L4.11
SRR28393624,L4.11.2,L4.11
SRR28393626,L4.11.2,L4.11
SRR28393650,L4.11.2,L4.11
SRR28393652,L4.11.2,L4.11
SRR28393657,L4.11.2,L4.11
SRR28393685,L4.11.2,L4.11
SRR28393689,L4.11.2,L4.11
SRR28393691,L4.11.2,L4.11
SRR28393738,L4.11.2,L4.11
SRR28393760,L4.11.2,L4.11
SRR28393772,L4.11.2,L4.11
SRR28393797,L4.11.2,L4.11
SRR28393801,L4.11.2,L4.11
SRR28393821,L4.11.2,L4.11
SRR28393848,L4.11.2,L4.11
SRR28393850,L4.11.2,L4.11
SRR28393862,L4.11.2,L4.11
SRR28393876,L4.11.2,L4.11
SRR28393886,L4.11.2,L4.11
SRR28393899,L4.11.2,L4.11
SRR28393900,L4.11.2,L4.11
SRR28393901,L4.11.2,L4.11
SRR28393908,L4.11.2,L4.11
SRR28393947,L4.11.2,L4.11
SRR28393949,L4.11.2,L4.11
SRR28393954,L4.11.2,L4.11
SRR28393955,L4.11.2,L4.11
SRR28393976,L4.11.2,L4.11
SRR28393988,L4.11.2,L4.11
SRR28394004,L4.11.2,L4.11
SRR28394008,L4.11.2,L4.11
SRR28394026,L4.11.2,L4.11
SRR28394028,L4.11.2,L4.11
SRR28394044,L4.11.2,L4.11
SRR28394061,L4.11.2,L4.11
SRR28394070,L4.11.2,L4.11
SRR28394072,L4.11.2,L4.11
SRR28394073,L4.11.2,L4.11
SRR28394078,L4.11.2,L4.11
SRR28394095,L4.11.2,L4.11
SRR28394097,L4.11.2,L4.11
SRR28394113,L4.11.2,L4.11
SRR28394119,L4.11.2,L4.11
SRR28394134,L4.11.2,L4.11
SRR28394143,L4.11.2,L4.11
SRR28394190,L4.11.2,L4.11
SRR28394207,L4.11.2,L4.11
SRR28394212,L4.11.2,L4.11
SRR28394232,L4.11.2,L4.11
SRR28394242,L4.11.2,L4.11
SRR28394260,L4.11.2,L4.11
SRR28394268,L4.11.2,L4.11
SRR28394269,L4.11.2,L4.11
SRR28394271,L4.11.2,L4.11
SRR28394278,L4.11.2,L4.11
SRR28394279,L4.11.2,L4.11
SRR28394298,L4.11.2,L4.11
SRR28409686,L4.11.2,L4.11
SRR28858605,L4.11.2,L4.11
SRR28859839,L4.11.2,L4.11
SRR29016766,L4.11.1,L4.11
SRR29016810,L4.11.1,L4.11
SRR29016812,L4.11.1,L4.11
SRR29016829,L4.11.1,L4.11
SRR29016865,L4.11.1,L4.11
SRR29016881,L4.11.1,L4.11
SRR29017028,L4.11.1,L4.11
SRR29017092,L4.11.1,L4.11
SRR29017094,L4.11.1,L4.11
SRR29017107,L4.11.1,L4.11
SRR29017138,L4.11.1,L4.11
SRR29017144,L4.11.1,L4.11
SRR29017147,L4.11.1,L4.11
SRR29017178,L4.11.1,L4.11
SRR29017188,L4.11.1,L4.11
SRR29017213,L4.11.1,L4.11
SRR29017234,L4.11.1,L4.11
SRR29017242,L4.11.1,L4.11
SRR29017384,L4.11.1,L4.11
SRR29017410,L4.11.1,L4.11
SRR29017445,L4.11.1,L4.11
SRR29017548,L4.11.1,L4.11
SRR29017583,L4.11.1,L4.11
SRR29017611,L4.11.1,L4.11
SRR29017620,L4.11.1,L4.11
SRR29017622,L4.11.1,L4.11
SRR29017648,L4.11.1,L4.11
SRR29017661,L4.11.1,L4.11
SRR29017674,L4.11.1,L4.11
SRR29017683,L4.11.1,L4.11
SRR29017690,L4.11.1,L4.11
SRR29017695,L4.11.1,L4.11
SRR29017701,L4.11.1,L4.11
SRR29052933,L4.11.2,L4.11
SRR29053095,L4.11.2,L4.11
SRR29053249,L4.11.2,L4.11
SRR29053614,L4.11.2,L4.11
SRR29055453,L4.11.2,L4.11
SRR29055490,L4.11.1,L4.11
SRR29081563,L4.11.2,L4.11
SRR29081572,L4.11.2,L4.11
SRR29081583,L4.11.2,L4.11
