strain_id,sub_lineage,lineage
SRR29081588,L4.11.2,L4.11
SRR29081594,L4.11.2,L4.11
SRR29081652,L4.11.2,L4.11
SRR29094378,L4.11.2,L4.11
SRR29094396,L4.11.2,L4.11
SRR29094430,L4.11.2,L4.11
SRR29124318,L4.11.2,L4.11
SRR29126252,L4.11.2,L4.11
SRR29126386,L4.11.2,L4.11
SRR29126789,L4.11.2,L4.11
SRR29127063,L4.11.2,L4.11
SRR29341528,L4.11.1,L4.11
SRR29440626,L4.11.2,L4.11
SRR29440700,L4.11.1,L4.11
SRR30443755,L4.11.1,L4.11
SRR30443893,L4.11.2,L4.11
SRR30443963,L4.11.2,L4.11
SRR30679919,L4.11.2,L4.11
SRR30817253,L4.11.2,L4.11
SRR3082138,L4.11.2,L4.11
SRR3085368,L4.11.2,L4.11
SRR31008886,L4.11.2,L4.11
SRR32216117,L4.11.2,L4.11
SRR32238840,L4.11.2,L4.11
SRR32239015,L4.11.2,L4.11
SRR32239017,L4.11.2,L4.11
SRR32253773,L4.11.2,L4.11
SRR32266478,L4.11.2,L4.11
SRR32282396,L4.11.2,L4.11
SRR32300766,L4.11.2,L4.11
SRR32300770,L4.11.2,L4.11
SRR32308867,L4.11.2,L4.11
SRR32308920,L4.11.2,L4.11
SRR32308922,L4.11.2,L4.11
SRR32309026,L4.11.2,L4.11
SRR32309447,L4.11.2,L4.11
SRR32331261,L4.11.2,L4.11
SRR32331580,L4.11.2,L4.11
SRR32331686,L4.11.2,L4.11
SRR32331803,L4.11.2,L4.11
SRR32331814,L4.11.2,L4.11
SRR32331939,L4.11.2,L4.11
SRR32332060,L4.11.2,L4.11
SRR33631057,L4.11.2,L4.11
SRR33643079,L4.11.2,L4.11
SRR33643326,L4.11.2,L4.11
SRR33644337,L4.11.2,L4.11
SRR33644388,L4.11.2,L4.11
SRR33645712,L4.11.2,L4.11
SRR33736187,L4.11.2,L4.11
SRR33738043,L4.11.2,L4.11
SRR33748947,L4.11.2,L4.11
SRR33750551,L4.11.2,L4.11
SRR33753114,L4.11.2,L4.11
SRR33815528,L4.11.2,L4.11
SRR33818629,L4.11.2,L4.11
SRR33831192,L4.11.2,L4.11
SRR33831407,L4.11.2,L4.11
SRR33831563,L4.11.2,L4.11
SRR33840317,L4.11.2,L4.11
SRR33840618,L4.11.2,L4.11
SRR33843371,L4.11.2,L4.11
SRR33847130,L4.11.2,L4.11
SRR33917718,L4.11.2,L4.11
SRR33917746,L4.11.2,L4.11
SRR33936292,L4.11.2,L4.11
SRR33938923,L4.11.2,L4.11
SRR33943110,L4.11.2,L4.11
SRR33953303,L4.11.2,L4.11
SRR33953785,L4.11.2,L4.11
SRR33969568,L4.11.2,L4.11
SRR34010319,L4.11.2,L4.11
SRR34011784,L4.11.2,L4.11
SRR34011817,L4.11.2,L4.11
SRR35281596,L4.11.1,L4.11
SRR35281598,L4.11.1,L4.11
SRR35281599,L4.11.1,L4.11
SRR35281600,L4.11.1,L4.11
SRR35281602,L4.11.1,L4.11
SRR3675589,L4.11.1,L4.11
SRR3724676,L4.11.2,L4.11
SRR3732581,L4.11.2,L4.11
SRR3732722,L4.11.2,L4.11
SRR4423155,L4.11.1,L4.11
SRR4423179,L4.11.1,L4.11
SRR4423181,L4.11.1,L4.11
SRR6650186,L4.11.1,L4.11
SRR6797722,L4.11.1,L4.11
SRR6797801,L4.11.1,L4.11
SRR7517800,L4.11.2,L4.11
SRR7517832,L4.11.2,L4.11
